id;dominio;dns;status
12;acessoinformacao.gov.br;;0
13;acjus.gov.br;;0
14;acraiz.gov.br;mx.acraiz.gov.br,mx.acraiz.gov.br;1
15;acre.gov.br;mail.acre.gov.br;1
16;acs.gov.br;;0
17;aeb.gov.br;aeb-gov-br.mail.protection.outlook.com;1
18;aerofacil.gov.br;;0
19;aeroportodebrasilia.gov.br;;0
20;aeroportodesalvador.gov.br;;0
21;aeroportoindustria.gov.br;;0
22;aeroportoindustrial.gov.br;;0
23;aeroshopping.gov.br;mail.infraero.gov.br;1
24;agenciabrasil.gov.br;smtp01.radiobras.gov.br;1
25;agenciacamara.gov.br;;0
26;agespacial.gov.br;;0
27;agricultura.gov.br;cluster1.us.messagelabs.com,cluster1a.us.messagelabs.com;1
28;agritempo.gov.br;;0
29;agro.gov.br;cluster1.us.messagelabs.com,cluster1a.us.messagelabs.com;1
30;agroecologia.gov.br;;0
31;agrolivre.gov.br;;0
32;agronet-pe.gov.br;;0
33;agu.gov.br;0f2532e9-ffe2-4f18-992f-bc109b59ed59.in.tmes.trendmicro.com;1
34;ahsul.gov.br;;0
35;aids.gov.br;smtp.aids.gov.br,ex-ed-01.aids.gov.br,ex-ed-02.aids.gov.br;1
36;al.gov.br;;0
37;aleam.gov.br;zimbra.aleam.gov.br,webmail.aleam.gov.br;1
38;alemg.gov.br;smtp.alemg.gov.br;1
39;almg.gov.br;smtp.almg.gov.br;1
40;almoxarifadovirtual.gov.br;;0
41;am.gov.br;;0
42;amapa.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
43;amazonasenergia.gov.br;;0
44;amazonfund-bndes.gov.br;;0
45;amazonfund.gov.br;amazonfund-gov-br.mail.protection.outlook.com;1
46;amazoniafund.gov.br;;0
47;amazoniafundo-bndes.gov.br;;0
48;amazoniafundo.gov.br;;0
49;amazonianfund-bndes.gov.br;;0
50;amazonianfund.gov.br;;0
51;amazul.gov.br;mx1.amazul.gov.br,mx3.amazul.gov.br,mx4.amazul.gov.br;1
52;an.gov.br;an-gov-br.mail.protection.outlook.com;1
53;ana.gov.br;ana.in.tmes.trendmicro.com;1
54;anac.gov.br;anac-gov-br.mail.protection.outlook.com;1
55;anapost.gov.br;;0
56;anatel.gov.br;anatel-gov-br.in.tmes.trendmicro.com;1
57;ancine.gov.br;ancine-gov-br.mail.protection.outlook.com;1
58;aneel.gov.br;agent.aneel.gov.br,master.aneel.gov.br,coulomb.aneel.gov.br,mailsrv.aneel.gov.br;1
59;anm.gov.br;anm-gov-br.mail.protection.outlook.com;1
60;anp.gov.br;anp-gov-br.mail.protection.outlook.com;1
61;anpd.gov.br;anpd-gov-br.mail.protection.outlook.com;1
62;ans.gov.br;ans-gov-br.mail.protection.outlook.com;1
63;antaq.gov.br;antaq.in.tmes.trendmicro.com;1
64;antt.gov.br;antt-gov-br.mail.protection.outlook.com;1
65;anvisa.gov.br;cluster1.us.messagelabs.com,cluster1a.us.messagelabs.com;1
66;ap.gov.br;antispam.ap.gov.br;1
67;api.gov.br;;0
68;apostasurpresa.gov.br;;0
69;app.gov.br;protection.serpro.gov.br;1
70;aprendendoaexportar.gov.br;;0
71;arquitetura.gov.br;;0
72;arquivonacional.gov.br;arquivonacional-gov-br.mail.protection.outlook.com;1
73;artesanatobrasileiro.gov.br;relay.mdic.gov.br,smtp2.mdic.gov.br;1
74;auxiliobrasil.gov.br;;0
75;avancabrasil.gov.br;;0
76;avancar.gov.br;;0
77;avancarparcerias.gov.br;;0
78;avasus.gov.br;;0
79;avisabr.gov.br;;0
80;avozdobrasil.gov.br;smtp01.radiobras.gov.br,smtp02.radiobras.gov.br;1
81;ba.gov.br;ba-gov-br.mail.protection.outlook.com;1
82;bacen.gov.br;;0
83;badesc.gov.br;badesc-gov-br.mail.protection.outlook.com;1
84;bancocentral.gov.br;;0
85;bancodeconteudos.gov.br;;0
86;bancodeoportunidades.gov.br;;0
87;bancodonordeste.gov.br;d001smt14.bnb.gov.br,d001smt15.bnb.gov.br;1
88;banconordeste.gov.br;;0
89;bc.gov.br;;0
90;bcb.gov.br;bcb-gov-br.mail.protection.outlook.com;1
91;bcc.gov.br;;0
92;bdjur.gov.br;;0
93;belomonte.gov.br;;0
94;bid2002brasil.gov.br;;0
95;biodiversidade.gov.br;mailscan-in.serpro.gov.br;1
96;bioform.gov.br;;0
97;bn.gov.br;mail.bn.gov.br,bn-gov-br.mail.protection.outlook.com,correio.bn.gov.br;1
98;bnb.gov.br;bnb-gov-br.mail.protection.outlook.com;1
99;bnde.gov.br;;0
100;bndes.gov.br;bndes-gov-br.mail.protection.outlook.com;1
101;bndespar.gov.br;;0
102;bnds.gov.br;;0
103;boavistaenergia.gov.br;;0
104;bolaofederal.gov.br;;0
105;bolsadacaixa.gov.br;;0
106;br.gov.br;;0
107;brasil-rounds.gov.br;;0
108;brasil.gov.br;esa01.presidencia.gov.br,esa02.presidencia.gov.br;1
109;brasil2016.gov.br;;0
110;brasilcentral.gov.br;smtp053.gdfnet.df.gov.br,smtp054.gdfnet.df.gov.br,smtp051.gdfnet.df.gov.br;1
111;brasilcultura.gov.br;;0
112;brasildigital.gov.br;;0
113;brasileficiente.gov.br;alpha.planalto.gov.br;1
114;brasilexport.gov.br;;0
115;brasilglobalnet.gov.br;mailmx.abc.gov.br;1
116;brasilre.gov.br;caxias.irbbrasilre.com,tijuca.irbbrasilre.com;1
117;brasilsaudavelesustentavel.gov.br;smtp-serpro01.mds.gov.br,smtp-serpro02.mds.gov.br;1
118;brasilsemiseria.gov.br;;0
119;brasilsemmiseria.gov.br;;0
120;brasiltradenet.gov.br;;0
121;brasiltransparente.gov.br;;0
122;brazil-rounds.gov.br;;0
123;brazil.gov.br;;0
124;brazilexport.gov.br;;0
125;brazilglobalnet.gov.br;;0
126;brazilgovnews.gov.br;;0
127;brazilrounds.gov.br;;0
128;braziltradenet.gov.br;;0
129;btig.gov.br;;0
130;btn.gov.br;;0
131;businessbrasil.gov.br;;0
132;businessbrazil.gov.br;;0
133;butantan.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,aspmx2.googlemail.com,aspmx3.googlemail.com;1
134;bvenergia.gov.br;;0
135;c-brasil.gov.br;mailscan-in.serpro.gov.br;1
136;c-brazil.gov.br;;0
137;cadastrominhacasaminhavida.gov.br;;0
138;cadastrorural.gov.br;;0
139;cade.gov.br;cade-gov-br.mail.protection.outlook.com;1
140;cadicon.gov.br;;0
141;caged.gov.br;;0
142;caisan.gov.br;smtp-serpro01.mds.gov.br,smtp-serpro02.mds.gov.br;1
143;caixa.gov.br;caixa-gov-br.mail.protection.outlook.com;1
144;caixaaqui.gov.br;;0
145;caixacultural.gov.br;;0
146;caixadasorte.gov.br;;0
147;caixadotesouro.gov.br;;0
148;caixaeconomica.gov.br;;0
149;caixaeconomicafederal.gov.br;;0
150;caixaforte.gov.br;;0
151;caixainvest.gov.br;;0
152;caixainveste.gov.br;;0
153;caixamaisqueumbanco.gov.br;;0
154;caixamasterpass.gov.br;;0
155;caixaoperadoradeseguros.gov.br;;0
156;caixapostal.gov.br;;0
157;caixaqui.gov.br;;0
158;caixaresolve.gov.br;;0
159;caixaseguridade.gov.br;;0
160;caixavirtual.gov.br;;0
161;camara.gov.br;souzinha1.camara.gov.br,souzinha2.camara.gov.br,souzinha3.camara.gov.br;1
162;camaradosdeputados.gov.br;;0
163;camex.gov.br;relay.mdic.gov.br,smtp2.mdic.gov.br;1
164;caminhaodasorte.gov.br;;0
165;caminhaofederal.gov.br;;0
166;cancer.gov.br;;0
167;capacidades.gov.br;;0
168;capes.gov.br;capes-gov-br.mail.protection.outlook.com;1
169;capitalderisco.gov.br;mx.capitalderisco.gov.br;1
170;capoeira.gov.br;;0
171;car.gov.br;;0
172;carrocampeao.gov.br;;0
173;cartaobndes.gov.br;;0
174;cartelafederal.gov.br;;0
175;casacivil.gov.br;esa01.presidencia.gov.br,esa02.presidencia.gov.br;1
176;casadamoeda.gov.br;casadamoeda-gov-br.mail.protection.outlook.com;1
177;casamilitar.gov.br;esa01.presidencia.gov.br,esa02.presidencia.gov.br;1
178;casaruibarbosa.gov.br;mail.casaruibarbosa.gov.br;1
179;casemg.gov.br;;0
180;catir.gov.br;;0
181;cauac.gov.br;cauac-gov-br.mail.protection.outlook.com;1
182;caual.gov.br;caual-gov-br.mail.protection.outlook.com;1
183;cauam.gov.br;cauam-gov-br.mail.protection.outlook.com;1
184;cauap.gov.br;cauap-gov-br.mail.protection.outlook.com;1
185;cauba.gov.br;cauba-gov-br.mail.protection.outlook.com;1
186;caubr.gov.br;caubr-gov-br.mail.protection.outlook.com;1
187;cauce.gov.br;cauce-gov-br.mail.protection.outlook.com;1
188;caudf.gov.br;caudf-gov-br.mail.protection.outlook.com;1
189;caues.gov.br;caues-gov-br.mail.protection.outlook.com;1
190;caugo.gov.br;caugo-gov-br.mail.protection.outlook.com;1
191;cauma.gov.br;cauma-gov-br.mail.protection.outlook.com;1
192;caumg.gov.br;caumg-gov-br.mail.protection.outlook.com;1
193;caums.gov.br;caums-gov-br.mail.protection.outlook.com;1
194;caumt.gov.br;caumt-gov-br.mail.protection.outlook.com;1
195;caupa.gov.br;caupa-gov-br.mail.protection.outlook.com;1
196;caupb.gov.br;caupb-gov-br.mail.protection.outlook.com;1
197;caupe.gov.br;caupe-gov-br.mail.protection.outlook.com;1
198;caupi.gov.br;caupi-gov-br.mail.protection.outlook.com;1
199;caupr.gov.br;caupr-gov-br.mail.protection.outlook.com,ms32310411.msv1.invalid;1
200;caurj.gov.br;caurj-gov-br.mail.protection.outlook.com;1
201;caurn.gov.br;caurn-gov-br.mail.protection.outlook.com;1
202;cauro.gov.br;cauro-gov-br.mail.protection.outlook.com;1
203;caurr.gov.br;caurr-gov-br.mail.protection.outlook.com;1
204;caurs.gov.br;caurs-gov-br.mail.protection.outlook.com;1
205;causc.gov.br;causc-gov-br.mail.protection.outlook.com;1
206;cause.gov.br;cause-gov-br.mail.protection.outlook.com;1
207;causp.gov.br;causp-gov-br.mail.protection.outlook.com;1
208;cauto.gov.br;cauto-gov-br.mail.protection.outlook.com;1
209;cbee.gov.br;;0
210;cbh.gov.br;sucuri.snisb.gov.br,bonito.snisb.gov.br;1
211;cbnb.gov.br;mx.b.locaweb.com.br,mx.a.locaweb.com.br,mx.jk.locaweb.com.br;1
212;cbtu-natal.gov.br;;0
213;cbtu-sturec.gov.br;;0
214;cbtu.gov.br;pop.cbtu.gov.br,pop2.cbtu.gov.br;1
215;cbtujp.gov.br;;0
216;cbtumetrorec.gov.br;;0
217;ccom.gov.br;;0
218;cd.gov.br;;0
219;cdes.gov.br;;0
220;cdess.gov.br;;0
221;ce.gov.br;;0
222;ceagesp.gov.br;ceagesp-gov-br.mail.protection.outlook.com;1
223;ceara.gov.br;mx1.casacivil.ce.gov.br,mx2.casacivil.ce.gov.br;1
224;ceasa.gov.br;;0
225;cef.gov.br;hercules1.cef.gov.br;1
226;cefetbg.gov.br;;0
227;ceitec.gov.br;mail.ceitec.gov.br;1
228;celepar.gov.br;smtp01.pr.gov.br,smtp02.pr.gov.br,smtp03.pr.gov.br,smtp04.pr.gov.br,smtp05.pr.gov.br;1
229;cemaden.gov.br;mail.cemaden.gov.br;1
230;cemave.gov.br;mailscan-in.serpro.gov.br;1
231;cenp.gov.br;mail.cenp.gov.br;1
232;cenpra.gov.br;;0
233;censo.gov.br;;0
234;censo2000.gov.br;;0
235;centelha.gov.br;;0
236;centrodememoriabndes.gov.br;;0
237;cepesc.gov.br;mx01.abin.gov.br,mx02.abin.gov.br;1
238;ceplac.gov.br;;0
239;certics.gov.br;teresopolis.cti.gov.br;1
240;cetem.gov.br;mail.cetem.gov.br;1
241;cetene.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
242;ceturb.gov.br;;0
243;cfa.gov.br;;0
244;cfbio.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
245;cfbm.gov.br;mx.core.locaweb.com.br,mx.a.locaweb.com.br,mx.b.locaweb.com.br,mx.jk.locaweb.com.br;1
246;cfmv.gov.br;mx.cfmv.gov.br,mx2.cfmv.gov.br;1
247;cft.gov.br;mx.uhserver.com;1
248;cgna.gov.br;mx.cgna.gov.br;1
249;cgtee.gov.br;;0
250;cgteletrosul.gov.br;mxa-007a2802.gslb.pphosted.com,mxb-007a2802.gslb.pphosted.com;1
251;cgu.gov.br;cgu-gov-br.mail.protection.outlook.com;1
252;chequeazul.gov.br;;0
253;chesf.gov.br;mxa-007a2802.gslb.pphosted.com,mxb-007a2802.gslb.pphosted.com;1
254;chicomendes.gov.br;mailscan-in.serpro.gov.br;1
255;ci-brasil.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,aspmx2.googlemail.com,aspmx3.googlemail.com,aspmx4.googlemail.com,aspmx5.googlemail.com;1
256;ciasc.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,aspmx2.googlemail.com,aspmx3.googlemail.com;1
257;cidadania.gov.br;cidadania-gov-br.mail.protection.outlook.com;1
258;cidadaniafinanceira.gov.br;mail1.bcb.gov.br,mail2.bcb.gov.br,mail3.bcb.gov.br;1
259;cidades.gov.br;funasa.in.tmes.trendmicro.com;1
260;cidadesdigitais.gov.br;;0
261;ciencianaescola.gov.br;;0
262;cienciasemfronteiras.gov.br;;0
263;cienciasus.gov.br;mail.cienciasus.gov.br;1
264;ciscea.gov.br;tora.ciscea.gov.br,tora2.ciscea.gov.br,antispam.ciscea.gov.br,antispam2.ciscea.gov.br;1
265;cjf.gov.br;;0
266;cmb.gov.br;cmb-gov-br.mail.protection.outlook.com;1
267;cmrj.gov.br;;0
268;cnen.gov.br;cnen-gov-br.mail.protection.outlook.com;1
269;cnenpc.gov.br;;0
270;cnfcp.gov.br;cnfcp-gov-br.mail.protection.outlook.com;1
271;cnis.gov.br;;0
272;cnj.gov.br;;0
273;cnmp.gov.br;;0
274;cnv.gov.br;;0
275;coaf.gov.br;coaf-gov-br.mail.protection.outlook.com;1
276;codeba.gov.br;mx.core.locaweb.com.br,mx.a.locaweb.com.br,mx.b.locaweb.com.br,mx.jk.locaweb.com.br;1
277;codern.gov.br;;0
278;codesa.gov.br;codesa-gov-br.mail.protection.outlook.com;1
279;codesp.gov.br;;0
280;codevasf.gov.br;smtp.codevasf.gov.br,smtp2.codevasf.gov.br;1
281;codomar.gov.br;;0
282;coegv.gov.br;;0
283;cofeci.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
284;cofecon.gov.br;mail.cofecon.gov.br;1
285;cofen.gov.br;cofen-gov-br.mail.protection.outlook.com;1
286;coffito.gov.br;mx.core.locaweb.com.br,mx.a.locaweb.com.br,mx.b.locaweb.com.br,mx.jk.locaweb.com.br;1
287;colab.gov.br;;0
288;colabora.gov.br;;0
289;colaboragov.gov.br;mte-mx03.mlicloud.com,mte-mx04.mlicloud.com,dc02-economia-mx01.mlicloud.com,dc02-economia-mx02.mlicloud.com;1
290;coletapilotocnae.gov.br;;0
291;combateafome.gov.br;;0
292;comercioeinvestimento.gov.br;;0
293;comex.gov.br;;0
294;comexresponde.gov.br;;0
295;compras.gov.br;;0
296;comprasagriculturafamiliar.gov.br;smtp-serpro.mds.gov.br;1
297;comprasgovernamentais.gov.br;relay01.planejamento.gov.br,relay02.planejamento.gov.br;1
298;comprasnet.gov.br;;0
299;compraspublicasbrasil.gov.br;;0
300;computadoresparainclusao.gov.br;;0
301;computadorparaprofessores.gov.br;;0
302;computadorparatodos.gov.br;;0
303;comunicacaosocial.gov.br;;0
304;conab.gov.br;mailin.conab.gov.br;1
305;conarq.gov.br;;0
306;conasp.gov.br;;0
307;concar.gov.br;concar-gov-br.mail.protection.outlook.com;1
308;conecta.gov.br;;0
309;congresso.gov.br;;0
310;conitec.gov.br;mx1.saude.gov.br,mx2.saude.gov.br,mx4.saude.gov.br,mx5.saude.gov.br;1
311;consegi.gov.br;;0
312;consorcioamazonialegal.gov.br;;0
313;consorciobdjur.gov.br;;0
314;consorciociga.gov.br;consorciociga-gov-br.mail.protection.outlook.com;1
315;consorcionordeste.gov.br;consorcionordeste-gov-br.mail.protection.outlook.com;1
316;construcard.gov.br;;0
317;consultaprotocolo.gov.br;;0
318;consumidor.gov.br;consumidor-gov-br.mail.protection.outlook.com,maine.mj.gov.br,piaget.mj.gov.br;1
319;contaspublicas.gov.br;;0
320;conter.gov.br;mx1.titan.email,mx2.titan.email;1
321;convenios.gov.br;;0
322;convensi.gov.br;mx.b.locaweb.com.br,mx.core.locaweb.com.br,mx.a.locaweb.com.br,mx.jk.locaweb.com.br;1
323;copatransparente.gov.br;;0
324;corecongo.gov.br;mail.corecongo.gov.br;1
325;coreconpe.gov.br;mail.coreconpe.gov.br;1
326;coreconpr.gov.br;mx.core.locaweb.com.br,mx.a.locaweb.com.br,mx.b.locaweb.com.br,mx.jk.locaweb.com.br;1
327;coreconrr.gov.br;;0
328;coreconsp.gov.br;mail.coreconsp.gov.br;1
329;coredopiaui.gov.br;;0
330;coren-ap.gov.br;coren-ap.gov.br;1
331;coren-ba.gov.br;alt3.aspmx.l.google.com;1
332;coren-df.gov.br;mx-br.spfbl.net,praetoriae.bktech.com.br,hill55.bktech.com.br,mx-us.spfbl.net;1
333;coren-mg.gov.br;mx.coren-mg.gov.br;1
334;coren-mt.gov.br;mx.core.locaweb.com.br,mx.a.locaweb.com.br,mx.b.locaweb.com.br,mx.jk.locaweb.com.br;1
335;coren-pb.gov.br;;0
336;coren-pe.gov.br;mail.coren-pe.gov.br;1
337;coren-rj.gov.br;;0
338;coren-se.gov.br;protection.serpro.gov.br;1
339;coren-sp.gov.br;corensp-gov-br01c.mail.protection.outlook.com;1
340;corenac.gov.br;;0
341;corenam.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
342;corenma.gov.br;mx.uhserver.com;1
343;corenmg.gov.br;smtp.corenmg.gov.br,smtp.corenmg.gov.br,smtp.corenmg.gov.br,smtp.corenmg.gov.br;1
344;corenms.gov.br;aspmx2.googlemail.com;1
345;corenpb.gov.br;200.234.222.116;1
346;corenpr.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
347;corenrj.gov.br;;0
348;corensc.gov.br;mail.corensc.gov.br;1
349;corensp.gov.br;mail.corensp.gov.br,ec2-54-232-52-172.sa-east-1.compute.amazonaws.com;1
350;corregedorias.gov.br;;0
351;correio.gov.br;;0
352;correios-ce.gov.br;;0
353;correios.gov.br;;0
354;cortesmercosul.gov.br;;0
355;cortesmercosur.gov.br;;0
356;cp2.gov.br;cp2.gov.br,108303612.mail.outlook.com;1
357;cprm.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
358;cra-amrr.gov.br;;0
359;cra-pr.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,aspmx2.googlemail.com,aspmx3.googlemail.com;1
360;crasp.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
361;crbio-02.gov.br;plesk03.dc.grupogmaes.com;1
362;crbio-03.gov.br;;0
363;crbio-3.gov.br;;0
364;crbio-4.gov.br;mx.b.locaweb.com.br,mx.core.locaweb.com.br,mx.a.locaweb.com.br,mx.jk.locaweb.com.br;1
365;crbio-7.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
366;crbio-pr.gov.br;wg9.webgenium.com.br;1
367;crbio-rs.gov.br;;0
368;crbio-sc.gov.br;;0
369;crbio01.gov.br;mail.crbio01.gov.br,mail2.crbio01.gov.br;1
370;crbio02.gov.br;cpanel01.dc.grupogmaes.com;1
371;crbio03.gov.br;crbio03-gov-br.mail.protection.outlook.com;1
372;crbio04.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com,aspmx2.googlemail.com,aspmx3.googlemail.com,aspmx4.googlemail.com,aspmx5.googlemail.com;1
373;crbio05.gov.br;mx.core.locaweb.com.br,mx.a.locaweb.com.br,mx.b.locaweb.com.br,mx.jk.locaweb.com.br;1
374;crbio06.gov.br;mx-vip-01.kinghost.net,mx-vip-02.kinghost.net;1
375;crbio07.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
376;crbio08.gov.br;mx.uhserver.com;1
377;crbio2.gov.br;mx-vip-01.kinghost.net,mx-vip-02.kinghost.net;1
378;crbio3.gov.br;;0
379;crbio5.gov.br;;0
380;crbio7.gov.br;wg9.webgenium.com.br;1
381;crbio8.gov.br;crbio8.gov.br;1
382;crbiopr.gov.br;wg9.webgenium.com.br;1
383;crbm1.gov.br;mx-vip-01.kinghost.net,mx-vip-02.kinghost.net;1
384;crbm2.gov.br;crbm2-gov-br.mail.protection.outlook.com;1
385;crbm3.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
386;crbm5.gov.br;mx-vip-01.kinghost.net,mx-vip-02.kinghost.net;1
387;crbm6.gov.br;mail.crbm6.gov.br;1
388;crcn.gov.br;;0
389;crea-ro.gov.br;;0
390;crearo.gov.br;;0
391;creci-al.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
392;creci-am.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
393;creci-ce.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
394;creci-es.gov.br;;0
395;creci-mt.gov.br;mx-vip-01.kinghost.net,mx-vip-02.kinghost.net;1
396;creci-pa.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
397;creci-pb.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,aspmx2.googlemail.com,aspmx3.googlemail.com,aspmx4.googlemail.com,aspmx5.googlemail.com;1
398;creci-pe.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
399;creci-pr.gov.br;matheus.garlix.com.br;1
400;creci-rj.gov.br;mx.core.locaweb.com.br,mx.a.locaweb.com.br,mx.b.locaweb.com.br,mx.jk.locaweb.com.br;1
401;creci-rn.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
402;creci-rs.gov.br;mxcreci.lk6.com.br;1
403;creci-sc.gov.br;barracuda.penso.com.br;1
404;creci-se.gov.br;;0
405;creci-sp.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
406;creciac.gov.br;creciac.gov.br;1
407;creciba.gov.br;mx.a.locaweb.com.br,mx.b.locaweb.com.br,mx.jk.locaweb.com.br;1
408;crecidf.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
409;crecies.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
410;crecigo.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
411;crecima.gov.br;mail.crecima.gov.br;1
412;crecimg.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
413;crecims.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
414;crecimt.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
415;crecipe.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
416;crecipr.gov.br;mail.crecipr.gov.br,mail2.crecipr.gov.br;1
417;crecirn.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
418;creciro.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
419;crecise.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
420;crecisp.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
421;crecito.gov.br;mail.crecito.gov.br;1
422;crediamigo.gov.br;;0
423;creditoruralcaixa.gov.br;;0
424;cref-sp.gov.br;cref-sp.gov.br;1
425;cref4-sp.gov.br;cref4-sp.gov.br;1
426;cref4.gov.br;cref4.gov.br;1
427;cref4sp.gov.br;cref4sp.gov.br;1
428;crefito-sp.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,aspmx2.googlemail.com,aspmx3.googlemail.com,aspmx4.googlemail.com,aspmx5.googlemail.com;1
429;crefito.gov.br;;0
430;crefito11.gov.br;mx.core.locaweb.com.br,mx.a.locaweb.com.br,mx.b.locaweb.com.br,mx.jk.locaweb.com.br;1
431;crefito16.gov.br;mx.a.locaweb.com.br,mx.b.locaweb.com.br,mx.jk.locaweb.com.br;1
432;crefito2.gov.br;mx.b.locaweb.com.br,mx.core.locaweb.com.br,mx.a.locaweb.com.br,mx.jk.locaweb.com.br;1
433;crefito4.gov.br;crefito4.gov.br;1
434;crefito7.gov.br;mail.crefito7.gov.br;1
435;crefito8.gov.br;crefito8-gov-br.mail.protection.outlook.com,antigo.mx.a.locaweb.com.br,antigo.mx.b.locaweb.com.br,antigo.mx.jk.locaweb.com.br,ms94649695.msv1.invalid;1
436;crefitosp.gov.br;;0
437;crefono1.gov.br;mx.core.locaweb.com.br,mx.a.locaweb.com.br,mx.b.locaweb.com.br,mx.jk.locaweb.com.br;1
438;crefono8.gov.br;hl06mta1.argohost.net,hl06mta2.argohost.net,hl06mta3.argohost.net;1
439;crefsp.gov.br;h01r16.llevon.com.br;1
440;cremesp.gov.br;mx.cremesp.gov.br;1
