id;dominio;dns;status
855;netgoverno.gov.br;;0
856;netminas.gov.br;;0
857;nfse.gov.br;;0
858;niteroi-artes.gov.br;mail.niteroi-artes.gov.br;1
859;nordestedigital.gov.br;;0
860;nordesteeletronico.gov.br;;0
861;nordestenegocios.gov.br;;0
862;normas.gov.br;;0
863;noticias.gov.br;;0
864;novoaeroportorecife.gov.br;;0
865;nuclebras.gov.br;srvras.nuclebras.gov.br;1
866;nuclep.gov.br;nuclep-gov-br.mail.protection.outlook.com;1
867;nuvem.gov.br;;0
868;obrasnet.gov.br;;0
869;observatorioapl.gov.br;jacaranda.apps.ibict.br;1
870;observatoriodegenero.gov.br;;0
871;oconsumidor.gov.br;;0
872;odmbrasil.gov.br;;0
873;odsbrasil.gov.br;;0
874;officebankingsocial.gov.br;;0
875;opeixeeaartedepescar.gov.br;;0
876;orcamento.gov.br;;0
877;orcamentofederal.gov.br;;0
878;ouvidoria.gov.br;;0
879;ouvidoriadoservidor.gov.br;;0
880;ouvidorias.gov.br;;0
881;pa.gov.br;colab-antispam-01.pa.gov.br,colab-antispam-02.pa.gov.br,colab-antispam-03.pa.gov.br;1
882;pac.gov.br;;0
883;pactointegrador.gov.br;;0
884;paineis.gov.br;;0
885;palmares.gov.br;webmail.palmares.gov.br,mx1.palmares.gov.br,mx2.palmares.gov.br,mx3.palmares.gov.br;1
886;parana.gov.br;;0
887;paranaeleitoral.gov.br;;0
888;participa.gov.br;esa01.presidencia.gov.br,esa02.presidencia.gov.br;1
889;participabrasil.gov.br;;0
890;patriavoluntaria.gov.br;;0
891;patrimoniodetodos.gov.br;;0
892;pb.gov.br;mx1.pb.gov.br,mx2.pb.gov.br;1
893;pbh.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,aspmx2.googlemail.com,aspmx3.googlemail.com,aspmx4.googlemail.com,aspmx5.googlemail.com;1
894;pe.gov.br;asmail.peconectado.pe.gov.br;1
895;pen.gov.br;;0
896;pensesimples.gov.br;;0
897;pernambuco.gov.br;;0
898;pesquisa.gov.br;;0
899;pessoacomdeficiencia.gov.br;;0
900;peticaoeletronica.gov.br;;0
901;petrobras.gov.br;;0
902;pf.gov.br;pf-gov-br.mail.protection.outlook.com;1
903;pgfn.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
904;pgi.gov.br;;0
905;pgr.gov.br;;0
906;pi.gov.br;zmta.pi.gov.br;1
907;pimentalonga.gov.br;;0
908;planalto.gov.br;esa01.presidencia.gov.br,esa02.presidencia.gov.br;1
909;planejamento.gov.br;mte-mx03.mlicloud.com,mte-mx04.mlicloud.com,dc02-economia-mx01.mlicloud.com,dc02-economia-mx02.mlicloud.com;1
910;planejamentoterritorial.gov.br;;0
911;planobrasil.gov.br;;0
912;plataformamaisbrasil.gov.br;;0
913;plenarinho.gov.br;souzinha1.camara.gov.br,souzinha2.camara.gov.br,souzinha3.camara.gov.br;1
914;pmss.gov.br;;0
915;pncp.gov.br;;0
916;policiafederal.gov.br;;0
917;portal.gov.br;protection.serpro.gov.br;1
918;portalbrasil.gov.br;;0
919;portalchina.gov.br;;0
920;portalcofen.gov.br;;0
921;portalconsular.gov.br;;0
922;portalcoren-rs.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
923;portaldajustica.gov.br;;0
924;portaldasaguas.gov.br;sucuri.snisb.gov.br,bonito.snisb.gov.br;1
925;portaldatransparencia.gov.br;;0
926;portaldoconsumidor.gov.br;mailmx2.portaldoconsumidor.gov.br;1
927;portaldoempreendedor.gov.br;;0
928;portaldoinvestidor.gov.br;;0
929;portalfederativo.gov.br;;0
930;portalgoverno.gov.br;;0
931;portaljt.gov.br;;0
932;portalmaisbrasil.gov.br;;0
933;portalpadrao.gov.br;;0
